date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:34:05	112/112	---M-Z	200	added ('OK')	text/plain	etag:%220f5fc3ca2a14ee0773cd361f5a158456%22	https://genuine-exercise-209226.framer.app/robots.txt		(from )
18:34:06	265919/265919	---M-Z	200	added ('OK')	text/html	etag:%227ee9bbf94e3bffb891e6c0b3d6f79007%22	https://genuine-exercise-209226.framer.app/	C:/My%20Web%20Sites/Dream/genuine-exercise-209226.framer.app/index.html	(from )
18:34:06	4253/4253	---MC-	200	added ('OK')	image/png	etag:%223f2be35d8f38202349a9b96fc42247c1%22	https://framerusercontent.com/images/0KmoVRXFxhHr9pF0a5hnT2SLa0.png	C:/My%20Web%20Sites/Dream/framerusercontent.com/images/0KmoVRXFxhHr9pF0a5hnT2SLa0.png	(from https://genuine-exercise-209226.framer.app/)
18:34:07	4047/4047	---MC-	200	added ('OK')	image/png	etag:%223ffc2d2c0355e1b17dbb92a6d589ae68%22	https://framerusercontent.com/images/9nNigbNjIqyOPOjdD8gTdharF2o.png	C:/My%20Web%20Sites/Dream/framerusercontent.com/images/9nNigbNjIqyOPOjdD8gTdharF2o.png	(from https://genuine-exercise-209226.framer.app/)
18:34:07	4884/4884	---MC-	200	added ('OK')	image/jpeg	etag:%2234ceb26da276ee5f30563908ef274046%22	https://framerusercontent.com/images/dBftWgnBmuAV1BA2aiHqQhxtTY.jpg?width=247&height=258	C:/My%20Web%20Sites/Dream/framerusercontent.com/images/dBftWgnBmuAV1BA2aiHqQhxtTY944f.jpg	(from https://genuine-exercise-209226.framer.app/)
18:34:08	37843/37843	---MC-	200	added ('OK')	image/png	etag:%229f46d6f7860e1e51bbb63b015cea21d4%22	https://framerusercontent.com/images/weCahoHF8B59ysWWu6FSJQgZNb4.png?scale-down-to=1024&width=750&height=1624	C:/My%20Web%20Sites/Dream/framerusercontent.com/images/weCahoHF8B59ysWWu6FSJQgZNb48cf2.png	(from https://genuine-exercise-209226.framer.app/)
18:34:09	153224/153224	---MC-	200	added ('OK')	image/webp	etag:%223992aa44046669c63f966ef365027a14%22	https://framerusercontent.com/images/41TjUYtyAVWz0M2mU5ByCOynr14.png?width=1372&height=1856	C:/My%20Web%20Sites/Dream/framerusercontent.com/images/41TjUYtyAVWz0M2mU5ByCOynr1457d6.png	(from https://genuine-exercise-209226.framer.app/)
18:34:10	98194/98194	---MC-	200	added ('OK')	image/jpeg	etag:%220455d28c264e37f595399f6219f0964b%22	https://framerusercontent.com/images/EvsyoK1dMcQjIH02uDVksZIgDow.jpg?scale-down-to=1024&width=628&height=1280	C:/My%20Web%20Sites/Dream/framerusercontent.com/images/EvsyoK1dMcQjIH02uDVksZIgDow09e2.jpg	(from https://genuine-exercise-209226.framer.app/)
18:34:10	51925/51925	---MC-	200	added ('OK')	image/jpeg	etag:%22d9d1213e4fea14afe93985c0ef2c92f1%22	https://framerusercontent.com/images/IdjIJTHZPW5s4R60LbF8XZn4pI.jpg?width=590&height=1280	C:/My%20Web%20Sites/Dream/framerusercontent.com/images/IdjIJTHZPW5s4R60LbF8XZn4pI5730.jpg	(from https://genuine-exercise-209226.framer.app/)
18:34:11	31168/31168	---MC-	200	added ('OK')	image/png	etag:%2246784cd775ee8cd7aee7d70ce6fbe119%22	https://framerusercontent.com/images/Pf01a5I94puqiFSpjyZ6YYazJYc.png?width=750&height=1624	C:/My%20Web%20Sites/Dream/framerusercontent.com/images/Pf01a5I94puqiFSpjyZ6YYazJYc91bb.png	(from https://genuine-exercise-209226.framer.app/)
18:34:11	66415/66415	---MC-	200	added ('OK')	image/jpeg	etag:%22f8b05356a493ae2689a5dac2888b95f2%22	https://framerusercontent.com/images/ikRFqjoesDnUl1lbWWZh2DxS8.jpeg?width=590&height=1280	C:/My%20Web%20Sites/Dream/framerusercontent.com/images/ikRFqjoesDnUl1lbWWZh2DxS85730.jpg	(from https://genuine-exercise-209226.framer.app/)
18:34:13	123485/123485	---MC-	200	added ('OK')	image/png	etag:%22a591ca1ffeaf13a96d8daeadea0442f5%22	https://framerusercontent.com/images/OopT36lFG4xxqlvabTh2EoBQKIQ.jpeg?width=498&height=1015	C:/My%20Web%20Sites/Dream/framerusercontent.com/images/OopT36lFG4xxqlvabTh2EoBQKIQde5d.png	(from https://genuine-exercise-209226.framer.app/)
